NW5001	 letzter Monat : 1612
NW5147	 letzter Monat : 1612
NW5149	 letzter Monat : 1612
NW5150	 letzter Monat : 1612
NW5203	 letzter Monat : 1612
NW5204	 letzter Monat : 1612
NW5208	 letzter Monat : 1612
NW5209	 letzter Monat : 1612
NW5210	 letzter Monat : 1612
NW5211	 letzter Monat : 1612
NW5213	 letzter Monat : 1612
NW5214	 letzter Monat : 1612
NW5220	 letzter Monat : 1612
NW5222	 letzter Monat : 1612
NW5223	 letzter Monat : 1612
NW5224	 letzter Monat : 1612
NW5225	 letzter Monat : 1612
NW5229	 letzter Monat : 1612
NW5230	 letzter Monat : 1612
NW5231	 letzter Monat : 1612
NW5232	 letzter Monat : 1612
NW5234	 letzter Monat : 1612
NW5235	 letzter Monat : 1612
NW5236	 letzter Monat : 1612
NW5238	 letzter Monat : 1612
NW5239	 letzter Monat : 1612
NW5240	 letzter Monat : 1612
NW5241	 letzter Monat : 1612
NW5243	 letzter Monat : 1612
NW5245	 letzter Monat : 1612
NW5246	 letzter Monat : 1612
NW5247	 letzter Monat : 1612
NW5248	 letzter Monat : 1612
NW5249	 letzter Monat : 1612
NW5250	 letzter Monat : 1612
NW5251	 letzter Monat : 1612
NW5252	 letzter Monat : 1612
NW5253	 letzter Monat : 1612
NW5254	 letzter Monat : 1612
NW5255	 letzter Monat : 1612
NW5256	 letzter Monat : 1612
NW5257	 letzter Monat : 1612
NW5258	 letzter Monat : 1612
NW5259	 letzter Monat : 1612
NW5260	 letzter Monat : 1612
NW5261	 letzter Monat : 1612
NW5262	 letzter Monat : 1612
NW5263	 letzter Monat : 1612
NW5264	 letzter Monat : 1612
NW5265	 letzter Monat : 1612
NW5266	 letzter Monat : 1612
NW5267	 letzter Monat : 1612
NW5268	 letzter Monat : 1612
NW5269	 letzter Monat : 1612
NW5270	 letzter Monat : 1612
NW5272	 letzter Monat : 1612
NW5273	 letzter Monat : 1612
NW5274	 letzter Monat : 1612
NW5275	 letzter Monat : 1612
NW5276	 letzter Monat : 1612
NW5277	 letzter Monat : 1612
NW5278	 letzter Monat : 1612
NW5301	 letzter Monat : 1612
NW5302	 letzter Monat : 1612
NW5303	 letzter Monat : 1612
NW5304	 letzter Monat : 1612
NW5306	 letzter Monat : 1612
NW5309	 letzter Monat : 1612
NW5310	 letzter Monat : 1612
NW5311	 letzter Monat : 1612
NW5315	 letzter Monat : 1612
NW5316	 letzter Monat : 1612
NW5318	 letzter Monat : 1612
NW5320	 letzter Monat : 1612
NW5321	 letzter Monat : 1612
NW5322	 letzter Monat : 1612
NW5323	 letzter Monat : 1612
NW5324	 letzter Monat : 1612
NW5325	 letzter Monat : 1612
NW5329	 letzter Monat : 1612
NW5330	 letzter Monat : 1612
NW5331	 letzter Monat : 1612
NW5332	 letzter Monat : 1612
NW5334	 letzter Monat : 1612
NW5335	 letzter Monat : 1612
NW5336	 letzter Monat : 1612
NW5337	 letzter Monat : 1612
NW5338	 letzter Monat : 1612
NW5339	 letzter Monat : 1612
NW5340	 letzter Monat : 1612
NW5341	 letzter Monat : 1612
NW5342	 letzter Monat : 1612
NW5343	 letzter Monat : 1612
NW5344	 letzter Monat : 1612
NW5345	 letzter Monat : 1612
NW5346	 letzter Monat : 1612
NW5347	 letzter Monat : 1612
NW5348	 letzter Monat : 1612
NW5349	 letzter Monat : 1612
NW5350	 letzter Monat : 1612
NW5351	 letzter Monat : 1612
NW5352	 letzter Monat : 1612
NW5354	 letzter Monat : 1612
NW5355	 letzter Monat : 1612
NW5357	 letzter Monat : 1612
NW5358	 letzter Monat : 1612
NW5364	 letzter Monat : 1612
NW5366	 letzter Monat : 1612
NW5367	 letzter Monat : 1612
NW5368	 letzter Monat : 1612
NW5369	 letzter Monat : 1612
NW5370	 letzter Monat : 1612
NW5371	 letzter Monat : 1612
NW5372	 letzter Monat : 1612
NW5373	 letzter Monat : 1612
NW5374	 letzter Monat : 1612
NW5375	 letzter Monat : 1612
NW5376	 letzter Monat : 1612
NW5377	 letzter Monat : 1612
NW5378	 letzter Monat : 1612
NW5379	 letzter Monat : 1612
NW5380	 letzter Monat : 1612
NW5381	 letzter Monat : 1612
NW5382	 letzter Monat : 1612
NW5383	 letzter Monat : 1612
NW5384	 letzter Monat : 1612
NW5385	 letzter Monat : 1612
NW5404	 letzter Monat : 1612
NW5405	 letzter Monat : 1612
NW5406	 letzter Monat : 1612
NW5407	 letzter Monat : 1612
NW5408	 letzter Monat : 1612
NW5410	 letzter Monat : 1612
NW5411	 letzter Monat : 1612
NW5413	 letzter Monat : 1612
NW5416	 letzter Monat : 1612
NW5418	 letzter Monat : 1612
NW5420	 letzter Monat : 1612
NW5421	 letzter Monat : 1612
NW5424	 letzter Monat : 1612
NW5426	 letzter Monat : 1612
NW5427	 letzter Monat : 1612
NW5428	 letzter Monat : 1612
NW5431	 letzter Monat : 1612
NW5432	 letzter Monat : 1612
NW5433	 letzter Monat : 1612
NW5434	 letzter Monat : 1612
NW5437	 letzter Monat : 1612
NW5438	 letzter Monat : 1612
NW5439	 letzter Monat : 1612
NW5440	 letzter Monat : 1612
NW5441	 letzter Monat : 1612
NW5505	 letzter Monat : 1612
NW5506	 letzter Monat : 1612
NW5507	 letzter Monat : 1612
NW5508	 letzter Monat : 1612
NW5510	 letzter Monat : 1612
NW5511	 letzter Monat : 1612
NW5513	 letzter Monat : 1612
NW5517	 letzter Monat : 1612
NW5518	 letzter Monat : 1612
NW5519	 letzter Monat : 1612
NW5520	 letzter Monat : 1612
NW5521	 letzter Monat : 1612
NW5523	 letzter Monat : 1612
NW5524	 letzter Monat : 1612
NW5525	 letzter Monat : 1612
NW5526	 letzter Monat : 1612
NW5528	 letzter Monat : 1612
NW5529	 letzter Monat : 1612
NW5530	 letzter Monat : 1612
NW5531	 letzter Monat : 1612
NW5533	 letzter Monat : 1612
NW5534	 letzter Monat : 1612
NW5535	 letzter Monat : 1612
NW5536	 letzter Monat : 1612
NW5601	 letzter Monat : 1612
NW5602	 letzter Monat : 1612
NW5621	 letzter Monat : 1612
NW5622	 letzter Monat : 1612
NW5624	 letzter Monat : 1612
NW5625	 letzter Monat : 1612
NW5626	 letzter Monat : 1612
NW5627	 letzter Monat : 1612
NW5628	 letzter Monat : 1612
NW5629	 letzter Monat : 1612
NW5630	 letzter Monat : 1612
NW5631	 letzter Monat : 1612
NW5632	 letzter Monat : 1612
NW5633	 letzter Monat : 1612
NW5634	 letzter Monat : 1612
NW5635	 letzter Monat : 1612
NW5636	 letzter Monat : 1612
NW5637	 letzter Monat : 1612
NW5638	 letzter Monat : 1612
NW5639	 letzter Monat : 1612
NW5650	 letzter Monat : 1612
NW5651	 letzter Monat : 1612
NW5653	 letzter Monat : 1612
NW5654	 letzter Monat : 1612
NW5655	 letzter Monat : 1612
NW5657	 letzter Monat : 1612
NW5658	 letzter Monat : 1612
NW5660	 letzter Monat : 1612
NW5662	 letzter Monat : 1612
NW5663	 letzter Monat : 1612
NW5665	 letzter Monat : 1612
NW5667	 letzter Monat : 1612
NW5668	 letzter Monat : 1612
NW5670	 letzter Monat : 1612
NW5672	 letzter Monat : 1612
NW5673	 letzter Monat : 1612
NW5674	 letzter Monat : 1612
NW5675	 letzter Monat : 1612
NW5676	 letzter Monat : 1612
NW5680	 letzter Monat : 1612
NW5681	 letzter Monat : 1612
NW5686	 letzter Monat : 1612
NW5705	 letzter Monat : 1409
Nw5085	 letzter Monat : 1412
Nw5088	 letzter Monat : 1412
Nw5090	 letzter Monat : 1412
Nw5097	 letzter Monat : 1412
Nw5124	 letzter Monat : 1412
Nw5125	 letzter Monat : 1412
Nw5126	 letzter Monat : 1412
Nw5128	 letzter Monat : 1412
Nw5129	 letzter Monat : 1412
Nw5130	 letzter Monat : 1412
Nw5132	 letzter Monat : 1412
Nw5135	 letzter Monat : 1412
Nw5136	 letzter Monat : 1412
Nw5137	 letzter Monat : 1412
Nw5138	 letzter Monat : 1412
Nw5139	 letzter Monat : 1412
Nw5140	 letzter Monat : 1412
Nw5141	 letzter Monat : 1412
Nw5142	 letzter Monat : 1412
Nw5143	 letzter Monat : 1412
Nw5144	 letzter Monat : 1412
Nw5146	 letzter Monat : 1412
Nw5147	 letzter Monat : 1412
Nw5149	 letzter Monat : 1412
Nw5150	 letzter Monat : 1412
Nw5270	 letzter Monat : 1412
Nw5272	 letzter Monat : 1412
Nw5273	 letzter Monat : 1412
Nw5274	 letzter Monat : 1412
Nw5275	 letzter Monat : 1412
Nw5276	 letzter Monat : 1412
Nw5277	 letzter Monat : 1412
Nw5278	 letzter Monat : 1412
Nw5354	 letzter Monat : 1412
Nw5355	 letzter Monat : 1412
Nw5357	 letzter Monat : 1412
Nw5358	 letzter Monat : 1412
Nw5364	 letzter Monat : 1412
Nw5366	 letzter Monat : 1412
Nw5367	 letzter Monat : 1412
Nw5368	 letzter Monat : 1412
Nw5369	 letzter Monat : 1412
Nw5370	 letzter Monat : 1412
Nw5371	 letzter Monat : 1412
Nw5372	 letzter Monat : 1412
Nw5373	 letzter Monat : 1412
Nw5375	 letzter Monat : 1412
Nw5376	 letzter Monat : 1412
Nw5377	 letzter Monat : 1412
Nw5378	 letzter Monat : 1412
Nw5379	 letzter Monat : 1412
Nw5380	 letzter Monat : 1412
Nw5381	 letzter Monat : 1412
Nw5382	 letzter Monat : 1412
Nw5383	 letzter Monat : 1412
Nw5384	 letzter Monat : 1412
Nw5385	 letzter Monat : 1412
nw5001	 letzter Monat : 1509
nw5002	 letzter Monat : 1509
nw5003	 letzter Monat : 1509
nw5004	 letzter Monat : 1509
nw5005	 letzter Monat : 1509
nw5006	 letzter Monat : 1508
nw5007	 letzter Monat : 1509
nw5008	 letzter Monat : 1509
nw5010	 letzter Monat : 1509
nw5011	 letzter Monat : 1509
nw5013	 letzter Monat : 1509
nw5014	 letzter Monat : 1509
nw5015	 letzter Monat : 1509
nw5016	 letzter Monat : 1509
nw5017	 letzter Monat : 1509
nw5018	 letzter Monat : 1509
nw5019	 letzter Monat : 1509
nw5020	 letzter Monat : 1509
nw5021	 letzter Monat : 1509
nw5022	 letzter Monat : 1509
nw5023	 letzter Monat : 1509
nw5024	 letzter Monat : 1509
nw5025	 letzter Monat : 1509
nw5026	 letzter Monat : 1509
nw5027	 letzter Monat : 1509
nw5028	 letzter Monat : 1509
nw5029	 letzter Monat : 1509
nw5030	 letzter Monat : 1509
nw5031	 letzter Monat : 1509
nw5032	 letzter Monat : 1509
nw5033	 letzter Monat : 1509
nw5034	 letzter Monat : 1509
nw5035	 letzter Monat : 1509
nw5036	 letzter Monat : 1509
nw5037	 letzter Monat : 1509
nw5039	 letzter Monat : 1509
nw5040	 letzter Monat : 1509
nw5041	 letzter Monat : 1509
nw5042	 letzter Monat : 1509
nw5043	 letzter Monat : 1509
nw5044	 letzter Monat : 1509
nw5045	 letzter Monat : 1509
nw5046	 letzter Monat : 1509
nw5047	 letzter Monat : 1509
nw5048	 letzter Monat : 1509
nw5049	 letzter Monat : 1509
nw5050	 letzter Monat : 1509
nw5051	 letzter Monat : 1509
nw5052	 letzter Monat : 1509
nw5053	 letzter Monat : 1509
nw5055	 letzter Monat : 1509
nw5056	 letzter Monat : 1509
nw5057	 letzter Monat : 1509
nw5058	 letzter Monat : 1509
nw5059	 letzter Monat : 1509
nw5060	 letzter Monat : 1509
nw5061	 letzter Monat : 1509
nw5062	 letzter Monat : 1509
nw5063	 letzter Monat : 1509
nw5064	 letzter Monat : 1509
nw5065	 letzter Monat : 1509
nw5066	 letzter Monat : 1509
nw5067	 letzter Monat : 1509
nw5068	 letzter Monat : 1509
nw5069	 letzter Monat : 1508
nw5070	 letzter Monat : 1509
nw5071	 letzter Monat : 1509
nw5072	 letzter Monat : 1509
nw5073	 letzter Monat : 1509
nw5074	 letzter Monat : 1509
nw5075	 letzter Monat : 1509
nw5076	 letzter Monat : 1509
nw5077	 letzter Monat : 1509
nw5078	 letzter Monat : 1509
nw5079	 letzter Monat : 1509
nw5080	 letzter Monat : 1509
nw5081	 letzter Monat : 1509
nw5082	 letzter Monat : 1509
nw5082_1	 letzter Monat : 1412
nw5085	 letzter Monat : 1509
nw5088	 letzter Monat : 1509
nw5090	 letzter Monat : 1509
nw5097	 letzter Monat : 1509
nw5101	 letzter Monat : 1509
nw5102	 letzter Monat : 1509
nw5103	 letzter Monat : 1509
nw5104	 letzter Monat : 1509
nw5105	 letzter Monat : 1509
nw5106	 letzter Monat : 1509
nw5107	 letzter Monat : 1509
nw5108	 letzter Monat : 1509
nw5109	 letzter Monat : 1509
nw5110	 letzter Monat : 1509
nw5111	 letzter Monat : 1509
nw5112	 letzter Monat : 1509
nw5113	 letzter Monat : 1509
nw5115	 letzter Monat : 1509
nw5116	 letzter Monat : 1509
nw5117	 letzter Monat : 1509
nw5118	 letzter Monat : 1509
nw5119	 letzter Monat : 1509
nw5120	 letzter Monat : 1509
nw5121	 letzter Monat : 1509
nw5122	 letzter Monat : 1509
nw5123	 letzter Monat : 1509
nw5124	 letzter Monat : 1509
nw5125	 letzter Monat : 1509
nw5126	 letzter Monat : 1509
nw5128	 letzter Monat : 1509
nw5129	 letzter Monat : 1509
nw5130	 letzter Monat : 1509
nw5132	 letzter Monat : 1509
nw5135	 letzter Monat : 1509
nw5136	 letzter Monat : 1509
nw5137	 letzter Monat : 1509
nw5138	 letzter Monat : 1509
nw5139	 letzter Monat : 1509
nw5140	 letzter Monat : 1509
nw5141	 letzter Monat : 1509
nw5142	 letzter Monat : 1509
nw5143	 letzter Monat : 1509
nw5144	 letzter Monat : 1509
nw5146	 letzter Monat : 1509
nw5147	 letzter Monat : 1509
nw5149	 letzter Monat : 1509
nw5150	 letzter Monat : 1509
nw5203	 letzter Monat : 1509
nw5204	 letzter Monat : 1509
nw5208	 letzter Monat : 1509
nw5209	 letzter Monat : 1509
nw5210	 letzter Monat : 1509
nw5211	 letzter Monat : 1509
nw5213	 letzter Monat : 1508
nw5214	 letzter Monat : 1509
nw5220	 letzter Monat : 1509
nw5222	 letzter Monat : 1509
nw5223	 letzter Monat : 1509
nw5224	 letzter Monat : 1509
nw5225	 letzter Monat : 1509
nw5226	 letzter Monat : 1401
nw5227	 letzter Monat : 1401
nw5228	 letzter Monat : 1401
nw5229	 letzter Monat : 1509
nw5230	 letzter Monat : 1508
nw5231	 letzter Monat : 1509
nw5232	 letzter Monat : 1509
nw5234	 letzter Monat : 1509
nw5235	 letzter Monat : 1509
nw5236	 letzter Monat : 1509
nw5238	 letzter Monat : 1509
nw5239	 letzter Monat : 1509
nw5240	 letzter Monat : 1509
nw5241	 letzter Monat : 1509
nw5243	 letzter Monat : 1509
nw5245	 letzter Monat : 1509
nw5246	 letzter Monat : 1509
nw5247	 letzter Monat : 1509
nw5248	 letzter Monat : 1509
nw5249	 letzter Monat : 1509
nw5250	 letzter Monat : 1509
nw5251	 letzter Monat : 1509
nw5252	 letzter Monat : 1509
nw5253	 letzter Monat : 1509
nw5254	 letzter Monat : 1509
nw5255	 letzter Monat : 1509
nw5256	 letzter Monat : 1509
nw5257	 letzter Monat : 1509
nw5258	 letzter Monat : 1509
nw5259	 letzter Monat : 1509
nw5260	 letzter Monat : 1509
nw5261	 letzter Monat : 1509
nw5262	 letzter Monat : 1509
nw5263	 letzter Monat : 1509
nw5264	 letzter Monat : 1509
nw5265	 letzter Monat : 1509
nw5266	 letzter Monat : 1509
nw5267	 letzter Monat : 1509
nw5268	 letzter Monat : 1509
nw5269	 letzter Monat : 1509
nw5270	 letzter Monat : 1509
nw5272	 letzter Monat : 1509
nw5273	 letzter Monat : 1509
nw5274	 letzter Monat : 1509
nw5275	 letzter Monat : 1509
nw5276	 letzter Monat : 1509
nw5277	 letzter Monat : 1509
nw5278	 letzter Monat : 1509
nw5301	 letzter Monat : 1509
nw5302	 letzter Monat : 1509
nw5303	 letzter Monat : 1509
nw5304	 letzter Monat : 1509
nw5306	 letzter Monat : 1509
nw5309	 letzter Monat : 1509
nw5310	 letzter Monat : 1509
nw5311	 letzter Monat : 1509
nw5315	 letzter Monat : 1509
nw5316	 letzter Monat : 1509
nw5318	 letzter Monat : 1509
nw5320	 letzter Monat : 1509
nw5321	 letzter Monat : 1509
nw5322	 letzter Monat : 1509
nw5323	 letzter Monat : 1509
nw5324	 letzter Monat : 1509
nw5325	 letzter Monat : 1509
nw5329	 letzter Monat : 1509
nw5330	 letzter Monat : 1509
nw5331	 letzter Monat : 1509
nw5332	 letzter Monat : 1509
nw5334	 letzter Monat : 1509
nw5335	 letzter Monat : 1509
nw5336	 letzter Monat : 1509
nw5337	 letzter Monat : 1509
nw5338	 letzter Monat : 1509
nw5339	 letzter Monat : 1509
nw5340	 letzter Monat : 1509
nw5341	 letzter Monat : 1509
nw5342	 letzter Monat : 1509
nw5343	 letzter Monat : 1509
nw5344	 letzter Monat : 1509
nw5345	 letzter Monat : 1509
nw5346	 letzter Monat : 1509
nw5347	 letzter Monat : 1509
nw5348	 letzter Monat : 1509
nw5349	 letzter Monat : 1509
nw5350	 letzter Monat : 1509
nw5351	 letzter Monat : 1509
nw5352	 letzter Monat : 1509
nw5354	 letzter Monat : 1509
nw5355	 letzter Monat : 1509
nw5357	 letzter Monat : 1509
nw5358	 letzter Monat : 1509
nw5364	 letzter Monat : 1509
nw5366	 letzter Monat : 1509
nw5367	 letzter Monat : 1509
nw5369	 letzter Monat : 1509
nw5370	 letzter Monat : 1509
nw5371	 letzter Monat : 1509
nw5372	 letzter Monat : 1509
nw5373	 letzter Monat : 1509
nw5374	 letzter Monat : 1509
nw5375	 letzter Monat : 1509
nw5376	 letzter Monat : 1509
nw5377	 letzter Monat : 1509
nw5378	 letzter Monat : 1509
nw5379	 letzter Monat : 1509
nw5380	 letzter Monat : 1509
nw5381	 letzter Monat : 1509
nw5382	 letzter Monat : 1509
nw5383	 letzter Monat : 1509
nw5384	 letzter Monat : 1509
nw5385	 letzter Monat : 1509
nw5404	 letzter Monat : 1509
nw5405	 letzter Monat : 1509
nw5406	 letzter Monat : 1509
nw5407	 letzter Monat : 1509
nw5408	 letzter Monat : 1509
nw5410	 letzter Monat : 1509
nw5411	 letzter Monat : 1509
nw5413	 letzter Monat : 1509
nw5416	 letzter Monat : 1509
nw5418	 letzter Monat : 1509
nw5420	 letzter Monat : 1509
nw5421	 letzter Monat : 1509
nw5424	 letzter Monat : 1509
nw5426	 letzter Monat : 1509
nw5427	 letzter Monat : 1509
nw5428	 letzter Monat : 1509
nw5431	 letzter Monat : 1509
nw5432	 letzter Monat : 1509
nw5432_1	 letzter Monat : 1412
nw5433	 letzter Monat : 1509
nw5433_1	 letzter Monat : 1412
nw5434	 letzter Monat : 1509
nw5437	 letzter Monat : 1509
nw5438	 letzter Monat : 1509
nw5439	 letzter Monat : 1509
nw5440	 letzter Monat : 1509
nw5441	 letzter Monat : 1509
nw5505	 letzter Monat : 1509
nw5506	 letzter Monat : 1509
nw5507	 letzter Monat : 1509
nw5508	 letzter Monat : 1509
nw5510	 letzter Monat : 1509
nw5511	 letzter Monat : 1509
nw5513	 letzter Monat : 1509
nw5517	 letzter Monat : 1509
nw5518	 letzter Monat : 1509
nw5519	 letzter Monat : 1509
nw5520	 letzter Monat : 1509
nw5521	 letzter Monat : 1509
nw5523	 letzter Monat : 1509
nw5524	 letzter Monat : 1509
nw5525	 letzter Monat : 1509
nw5526	 letzter Monat : 1509
nw5528	 letzter Monat : 1509
nw5529	 letzter Monat : 1509
nw5530	 letzter Monat : 1509
nw5531	 letzter Monat : 1509
nw5533	 letzter Monat : 1508
nw5534	 letzter Monat : 1509
nw5535	 letzter Monat : 1509
nw5536	 letzter Monat : 1509
nw5601	 letzter Monat : 1509
nw5602	 letzter Monat : 1509
nw5621	 letzter Monat : 1509
nw5622	 letzter Monat : 1509
nw5624	 letzter Monat : 1509
nw5625	 letzter Monat : 1509
nw5626	 letzter Monat : 1509
nw5627	 letzter Monat : 1509
nw5628	 letzter Monat : 1509
nw5629	 letzter Monat : 1509
nw5630	 letzter Monat : 1509
nw5631	 letzter Monat : 1509
nw5632	 letzter Monat : 1509
nw5633	 letzter Monat : 1509
nw5634	 letzter Monat : 1509
nw5635	 letzter Monat : 1509
nw5636	 letzter Monat : 1509
nw5637	 letzter Monat : 1509
nw5638	 letzter Monat : 1509
nw5639	 letzter Monat : 1509
nw5650	 letzter Monat : 1509
nw5651	 letzter Monat : 1509
nw5653	 letzter Monat : 1509
nw5654	 letzter Monat : 1509
nw5655	 letzter Monat : 1509
nw5657	 letzter Monat : 1509
nw5658	 letzter Monat : 1509
nw5660	 letzter Monat : 1509
nw5662	 letzter Monat : 1509
nw5663	 letzter Monat : 1509
nw5665	 letzter Monat : 1509
nw5667	 letzter Monat : 1509
nw5668	 letzter Monat : 1509
nw5670	 letzter Monat : 1509
nw5672	 letzter Monat : 1509
nw5673	 letzter Monat : 1509
nw5674	 letzter Monat : 1509
nw5675	 letzter Monat : 1509
nw5676	 letzter Monat : 1509
nw5680	 letzter Monat : 1509
nw5681	 letzter Monat : 1509
nw5686	 letzter Monat : 1508
